source,target,rel_type,updated_at,confidence,generated_by,target_type
FAQ-SCRIPT-001,SCRIPT-001,REFERS_TO,2026-08-12,1.0,rule,Script
FAQ-SCRIPT-002,SCRIPT-002,REFERS_TO,2026-08-12,1.0,rule,Script
FAQ-SCRIPT-003,SCRIPT-003,REFERS_TO,2026-08-12,1.0,rule,Script
FAQ-SCRIPT-004,SCRIPT-004,REFERS_TO,2026-08-12,1.0,rule,Script
FAQ-SCRIPT-005,SCRIPT-005,REFERS_TO,2026-08-12,1.0,rule,Script
FAQ-SCRIPT-006,SCRIPT-006,REFERS_TO,2026-08-12,1.0,rule,Script
FAQ-SCRIPT-007,SCRIPT-007,REFERS_TO,2026-08-12,1.0,rule,Script
FAQ-SCRIPT-008,SCRIPT-008,REFERS_TO,2026-08-12,1.0,rule,Script
FAQ-SCRIPT-009,SCRIPT-009,REFERS_TO,2026-08-12,1.0,rule,Script
FAQ-SCRIPT-010,SCRIPT-010,REFERS_TO,2026-08-12,1.0,rule,Script
FAQ-SCRIPT-010,WARR-1a256956,REFERS_TO,2026-08-12,1.0,rule,Policy
FAQ-SCRIPT-011,SCRIPT-011,REFERS_TO,2026-08-12,1.0,rule,Script
FAQ-SCRIPT-012,SCRIPT-012,REFERS_TO,2026-08-12,1.0,rule,Script
FAQ-SCRIPT-013,SCRIPT-013,REFERS_TO,2026-08-12,1.0,rule,Script
FAQ-SCRIPT-014,SCRIPT-014,REFERS_TO,2026-08-12,1.0,rule,Script
FAQ-SCRIPT-015,SCRIPT-015,REFERS_TO,2026-08-12,1.0,rule,Script
FAQ-SCRIPT-016,SCRIPT-016,REFERS_TO,2026-08-12,1.0,rule,Script
FAQ-SCRIPT-017,SCRIPT-017,REFERS_TO,2026-08-12,1.0,rule,Script
FAQ-SCRIPT-018,SCRIPT-018,REFERS_TO,2026-08-12,1.0,rule,Script
FAQ-SCRIPT-019,SCRIPT-019,REFERS_TO,2026-08-12,1.0,rule,Script
FAQ-SCRIPT-020,SCRIPT-020,REFERS_TO,2026-08-12,1.0,rule,Script
FAQ-SCRIPT-021,SCRIPT-021,REFERS_TO,2026-08-12,1.0,rule,Script
FAQ-SCRIPT-022,SCRIPT-022,REFERS_TO,2026-08-12,1.0,rule,Script
FAQ-SCRIPT-023,SCRIPT-023,REFERS_TO,2026-08-12,1.0,rule,Script
FAQ-SCRIPT-024,SCRIPT-024,REFERS_TO,2026-08-12,1.0,rule,Script
FAQ-SCRIPT-025,SCRIPT-025,REFERS_TO,2026-08-12,1.0,rule,Script
FAQ-SCRIPT-026,SCRIPT-026,REFERS_TO,2026-08-12,1.0,rule,Script
FAQ-SCRIPT-027,SCRIPT-027,REFERS_TO,2026-08-12,1.0,rule,Script
FAQ-SCRIPT-028,SCRIPT-028,REFERS_TO,2026-08-12,1.0,rule,Script
FAQ-SCRIPT-029,SCRIPT-029,REFERS_TO,2026-08-12,1.0,rule,Script
FAQ-SCRIPT-030,SCRIPT-030,REFERS_TO,2026-08-12,1.0,rule,Script
FAQ-SCRIPT-031,SCRIPT-031,REFERS_TO,2026-08-12,1.0,rule,Script
FAQ-SCRIPT-032,SCRIPT-032,REFERS_TO,2026-08-12,1.0,rule,Script
FAQ-SCRIPT-033,SCRIPT-033,REFERS_TO,2026-08-12,1.0,rule,Script
FAQ-SCRIPT-034,SCRIPT-034,REFERS_TO,2026-08-12,1.0,rule,Script
FAQ-SCRIPT-034,RETURN-38e401d2,REFERS_TO,2026-08-12,1.0,rule,Policy
FAQ-SCRIPT-035,SCRIPT-035,REFERS_TO,2026-08-12,1.0,rule,Script
FAQ-SCRIPT-036,SCRIPT-036,REFERS_TO,2026-08-12,1.0,rule,Script
FAQ-SCRIPT-036,RETURN-38e401d2,REFERS_TO,2026-08-12,1.0,rule,Policy
FAQ-SCRIPT-037,SCRIPT-037,REFERS_TO,2026-08-12,1.0,rule,Script
FAQ-SCRIPT-037,RETURN-38e401d2,REFERS_TO,2026-08-12,1.0,rule,Policy
FAQ-SCRIPT-038,SCRIPT-038,REFERS_TO,2026-08-12,1.0,rule,Script
FAQ-SCRIPT-039,SCRIPT-039,REFERS_TO,2026-08-12,1.0,rule,Script
FAQ-SCRIPT-040,SCRIPT-040,REFERS_TO,2026-08-12,1.0,rule,Script
FAQ-SCRIPT-041,SCRIPT-041,REFERS_TO,2026-08-12,1.0,rule,Script
FAQ-SCRIPT-042,SCRIPT-042,REFERS_TO,2026-08-12,1.0,rule,Script
FAQ-SCRIPT-043,SCRIPT-043,REFERS_TO,2026-08-12,1.0,rule,Script
FAQ-SCRIPT-044,SCRIPT-044,REFERS_TO,2026-08-12,1.0,rule,Script
FAQ-SCRIPT-045,SCRIPT-045,REFERS_TO,2026-08-12,1.0,rule,Script
FAQ-SCRIPT-046,SCRIPT-046,REFERS_TO,2026-08-12,1.0,rule,Script
FAQ-SCRIPT-047,SCRIPT-047,REFERS_TO,2026-08-12,1.0,rule,Script
FAQ-SCRIPT-048,SCRIPT-048,REFERS_TO,2026-08-12,1.0,rule,Script
FAQ-SCRIPT-049,SCRIPT-049,REFERS_TO,2026-08-12,1.0,rule,Script
FAQ-SCRIPT-050,SCRIPT-050,REFERS_TO,2026-08-12,1.0,rule,Script
FAQ-SCRIPT-051,SCRIPT-051,REFERS_TO,2026-08-12,1.0,rule,Script
FAQ-SCRIPT-052,SCRIPT-052,REFERS_TO,2026-08-12,1.0,rule,Script
FAQ-SEED-ca01,QC-AF5-WHITE,REFERS_TO,2026-08-12,0.9,rule+human,Product
FAQ-SEED-ca01,WARR-1a256956,REFERS_TO,2026-08-12,0.9,rule+human,Policy
FAQ-SEED-3070,RETURN-38e401d2,REFERS_TO,2026-08-12,0.9,rule+human,Policy
FAQ-MANUAL-5584,X-M1-WHITE,REFERS_TO,2026-08-12,0.9,rule+human,Product
FAQ-MANUAL-5584,WARR-1a256956,REFERS_TO,2026-08-12,0.9,rule+human,Policy
FAQ-MANUAL-8fbb,RETURN-9d637afd,REFERS_TO,2026-08-12,0.9,rule+human,Policy
