source,target,rel_type,updated_at,confidence,generated_by
SCRIPT-001,FAQ-SCRIPT-001,RELATED_TO,2026-08-12,1.0,rule
SCRIPT-002,FAQ-SCRIPT-002,RELATED_TO,2026-08-12,1.0,rule
SCRIPT-003,FAQ-SCRIPT-003,RELATED_TO,2026-08-12,1.0,rule
SCRIPT-004,FAQ-SCRIPT-004,RELATED_TO,2026-08-12,1.0,rule
SCRIPT-005,FAQ-SCRIPT-005,RELATED_TO,2026-08-12,1.0,rule
SCRIPT-006,FAQ-SCRIPT-006,RELATED_TO,2026-08-12,1.0,rule
SCRIPT-007,FAQ-SCRIPT-007,RELATED_TO,2026-08-12,1.0,rule
SCRIPT-008,FAQ-SCRIPT-008,RELATED_TO,2026-08-12,1.0,rule
SCRIPT-009,FAQ-SCRIPT-009,RELATED_TO,2026-08-12,1.0,rule
SCRIPT-010,FAQ-SCRIPT-010,RELATED_TO,2026-08-12,1.0,rule
SCRIPT-011,FAQ-SCRIPT-011,RELATED_TO,2026-08-12,1.0,rule
SCRIPT-012,FAQ-SCRIPT-012,RELATED_TO,2026-08-12,1.0,rule
SCRIPT-013,FAQ-SCRIPT-013,RELATED_TO,2026-08-12,1.0,rule
SCRIPT-014,FAQ-SCRIPT-014,RELATED_TO,2026-08-12,1.0,rule
SCRIPT-015,FAQ-SCRIPT-015,RELATED_TO,2026-08-12,1.0,rule
SCRIPT-016,FAQ-SCRIPT-016,RELATED_TO,2026-08-12,1.0,rule
SCRIPT-017,FAQ-SCRIPT-017,RELATED_TO,2026-08-12,1.0,rule
SCRIPT-018,FAQ-SCRIPT-018,RELATED_TO,2026-08-12,1.0,rule
SCRIPT-019,FAQ-SCRIPT-019,RELATED_TO,2026-08-12,1.0,rule
SCRIPT-020,FAQ-SCRIPT-020,RELATED_TO,2026-08-12,1.0,rule
SCRIPT-021,FAQ-SCRIPT-021,RELATED_TO,2026-08-12,1.0,rule
SCRIPT-022,FAQ-SCRIPT-022,RELATED_TO,2026-08-12,1.0,rule
SCRIPT-023,FAQ-SCRIPT-023,RELATED_TO,2026-08-12,1.0,rule
SCRIPT-024,FAQ-SCRIPT-024,RELATED_TO,2026-08-12,1.0,rule
SCRIPT-025,FAQ-SCRIPT-025,RELATED_TO,2026-08-12,1.0,rule
SCRIPT-026,FAQ-SCRIPT-026,RELATED_TO,2026-08-12,1.0,rule
SCRIPT-027,FAQ-SCRIPT-027,RELATED_TO,2026-08-12,1.0,rule
SCRIPT-028,FAQ-SCRIPT-028,RELATED_TO,2026-08-12,1.0,rule
SCRIPT-029,FAQ-SCRIPT-029,RELATED_TO,2026-08-12,1.0,rule
SCRIPT-030,FAQ-SCRIPT-030,RELATED_TO,2026-08-12,1.0,rule
SCRIPT-031,FAQ-SCRIPT-031,RELATED_TO,2026-08-12,1.0,rule
SCRIPT-032,FAQ-SCRIPT-032,RELATED_TO,2026-08-12,1.0,rule
SCRIPT-033,FAQ-SCRIPT-033,RELATED_TO,2026-08-12,1.0,rule
SCRIPT-034,FAQ-SCRIPT-034,RELATED_TO,2026-08-12,1.0,rule
SCRIPT-035,FAQ-SCRIPT-035,RELATED_TO,2026-08-12,1.0,rule
SCRIPT-036,FAQ-SCRIPT-036,RELATED_TO,2026-08-12,1.0,rule
SCRIPT-037,FAQ-SCRIPT-037,RELATED_TO,2026-08-12,1.0,rule
SCRIPT-038,FAQ-SCRIPT-038,RELATED_TO,2026-08-12,1.0,rule
SCRIPT-039,FAQ-SCRIPT-039,RELATED_TO,2026-08-12,1.0,rule
SCRIPT-040,FAQ-SCRIPT-040,RELATED_TO,2026-08-12,1.0,rule
SCRIPT-041,FAQ-SCRIPT-041,RELATED_TO,2026-08-12,1.0,rule
SCRIPT-042,FAQ-SCRIPT-042,RELATED_TO,2026-08-12,1.0,rule
SCRIPT-043,FAQ-SCRIPT-043,RELATED_TO,2026-08-12,1.0,rule
SCRIPT-044,FAQ-SCRIPT-044,RELATED_TO,2026-08-12,1.0,rule
SCRIPT-045,FAQ-SCRIPT-045,RELATED_TO,2026-08-12,1.0,rule
SCRIPT-046,FAQ-SCRIPT-046,RELATED_TO,2026-08-12,1.0,rule
SCRIPT-047,FAQ-SCRIPT-047,RELATED_TO,2026-08-12,1.0,rule
SCRIPT-048,FAQ-SCRIPT-048,RELATED_TO,2026-08-12,1.0,rule
SCRIPT-049,FAQ-SCRIPT-049,RELATED_TO,2026-08-12,1.0,rule
SCRIPT-050,FAQ-SCRIPT-050,RELATED_TO,2026-08-12,1.0,rule
SCRIPT-051,FAQ-SCRIPT-051,RELATED_TO,2026-08-12,1.0,rule
SCRIPT-052,FAQ-SCRIPT-052,RELATED_TO,2026-08-12,1.0,rule
